year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1994,4575281,5791522,95649868,94542844,682277,11.885,580764,10.116,15282839,5370834,9912005,5.681,16.165,13066603,4530029,8536574,4.792,13.821,2216236,2.344,27.642,398875,410784,2475711
1995,4674006,5921847,99016306,97280808,706163,12.058,574782,9.815,16025382,5684489,10340893,5.843,16.473,12548263,4314098,8234165,4.435,12.899,3477119,3.574,25.798,398645,411685,2466197
1996,4721540,5999687,100042597,99137150,701638,11.795,599323,10.075,15731728,5761144,9970584,5.811,15.869,13927402,4649868,9277534,4.690,14.049,1804326,1.820,28.097,416575,429216,2629977
1997,4776424,6075685,103096440,101738280,736712,12.200,662303,10.968,18177711,6419607,11758104,6.310,17.867,15441412,5769659,9671753,5.671,15.178,2736299,2.690,30.355,434203,449148,2912378
1998,4853548,6188011,107689077,106029894,702626,11.438,612252,9.967,17965285,6124471,11840814,5.776,16.944,14618675,4951663,9667012,4.670,13.787,3346610,3.156,27.575,400489,413229,2473513
1999,4883018,6246393,109812340,108824597,691108,11.115,633670,10.191,17671216,6099352,11571864,5.605,16.238,15695076,5638536,10056540,5.181,14.422,1976140,1.816,28.845,408681,423983,2731722
2000,4902719,6301553,113593164,111866564,680795,10.848,628911,10.022,18670431,6164745,12505686,5.511,16.690,15222898,5364938,9857960,4.796,13.608,3447533,3.082,27.216,405016,420653,2583612
2001,4912908,6332929,113773080,113659022,694163,10.990,661488,10.472,17759146,6315077,11444069,5.556,15.625,17530454,6324278,11206176,5.564,15.424,228692,0.201,30.847,408243,425764,2823232
2002,4929332,6392616,111799219,113155022,758902,11.911,716891,11.251,18530541,7464286,11066255,6.597,16.376,21255078,7152457,14102621,6.321,18.784,-2724537,-2.408,32.752,424299,439491,3421868
2003,4991927,6459031,112460517,112129216,734050,11.425,665362,10.356,17675453,6006182,11669271,5.356,15.763,17018427,5840573,11177854,5.209,15.178,657026,0.586,30.355,416561,428322,2629664
2004,5084924,6566688,114138584,113363242,749769,11.511,643022,9.872,17238480,5843307,11395173,5.154,15.206,15724589,5546934,10177655,4.893,13.871,1513891,1.335,27.742,414338,426311,2651059
2005,5166062,6675386,115422186,114812396,769042,11.615,660788,9.980,16999246,6134501,10864745,5.343,14.806,15776014,5171042,10604972,4.504,13.741,1223232,1.065,27.481,430425,441709,2649954
2006,5254916,6838713,119253652,117415290,844274,12.495,680600,10.073,18696108,6842589,11853519,5.828,15.923,15038746,5014240,10024506,4.271,12.808,3657362,3.115,25.616,460485,470930,2621531
2007,5291526,6917207,119771704,119543228,808797,11.761,727812,10.584,18279893,6355440,11924453,5.316,15.291,17827286,5894080,11933206,4.931,14.913,452607,0.379,29.826,467189,477045,2798008
2008,5230315,6873725,119550548,119617715,710589,10.307,751123,10.895,16947369,5599740,11347629,4.681,14.168,17113323,5587258,11526065,4.671,14.307,-165954,-0.139,28.336,495527,506144,2860405
2009,5088072,6737900,113657795,116752441,632741,9.281,792347,11.622,13379213,4968491,8410722,4.256,11.459,19581583,5589514,13992069,4.787,16.772,-6202370,-5.312,22.919,511115,524062,3057656
2010,5016353,6669509,111274422,112484606,636620,9.495,706793,10.542,13405335,4760492,8644843,4.232,11.917,15806521,4727822,11078699,4.203,14.052,-2401186,-2.135,23.835,440076,452661,2408248
2011,4993099,6665520,112845202,112069999,659127,9.886,662584,9.938,14728387,4561036,10167351,4.070,13.142,13166794,4236460,8930334,3.780,11.749,1561593,1.393,23.497,420190,433230,2206785
2012,5039673,6710572,115314012,114087535,669983,10.018,624069,9.332,15737253,4698835,11038418,4.119,13.794,13273198,4392473,8880725,3.850,11.634,2464055,2.160,23.268,379599,391929,2201909
2013,5064208,6749685,117558012,116459631,659947,9.807,619457,9.205,15523699,4890806,10632893,4.200,13.330,13326468,4467505,8858963,3.836,11.443,2197231,1.887,22.886,384319,392100,2214773
2014,5100719,6822436,120072493,118795193,672292,9.906,600814,8.853,15584293,5070747,10513546,4.268,13.119,13028978,4292904,8736074,3.614,10.968,2555315,2.151,21.935,381685,390188,2122112
2015,5146908,6906444,123177478,121631591,688197,10.025,604856,8.811,16280640,5386260,10894380,4.428,13.385,13180610,4295096,8885514,3.531,10.837,3100030,2.549,21.673,382811,392566,2230809
2016,5212130,7032104,125689404,124438101,710442,10.194,584936,8.393,16031854,5266391,10765463,4.232,12.883,13534480,4288083,9246397,3.446,10.876,2497374,2.007,21.753,384550,394445,2308746
2017,5246978,7073622,127427446,126425521,682347,9.675,640236,9.078,17103320,5315322,11787998,4.204,13.528,15109727,5154821,9954906,4.077,11.951,1993593,1.577,23.903,392222,403353,2448016
2018,5281916,7100785,129626237,128570989,666736,9.414,630485,8.902,16443509,5060668,11382841,3.936,12.789,14325324,4636148,9689176,3.606,11.142,2118185,1.647,22.284,394215,404909,2335101
2019,5330349,7177066,131831587,130674457,686264,9.613,609392,8.537,15804059,5053932,10750127,3.868,12.094,13523236,4335827,9187409,3.318,10.349,2280823,1.745,20.698,404886,413273,2345863
2020,5335214,7201053,132680862,132264659,692739,9.637,667817,9.290,15816694,5315475,10501219,4.019,11.958,14980733,4767536,10213197,3.605,11.326,835961,0.632,22.653,416962,427179,2429476
2021,5391471,7253521,127222136,129993870,783793,10.845,730639,10.110,15069167,5262792,9806375,4.048,11.592,20587364,5044120,15543244,3.880,15.837,-5518197,-4.245,23.184,421453,437187,2352413
2022,5541603,7408649,134143137,130616159,854030,11.651,697225,9.512,21652177,5914433,15737744,4.528,16.577,14567755,5119120,9448635,3.919,11.153,7084422,5.424,22.306,450039,463184,2474349
2023,5593727,7494983,137462444,135743554,790295,10.608,699980,9.396,18450927,5601163,12849764,4.126,13.592,15011588,4704213,10307375,3.466,11.059,3439339,2.534,22.118,523958,533856,2686413
