year,naics_sector,uspto_debuts,bfs_hba,ratio
2008,NAICSTW,1388,46124.0,0.030092793339693003
2009,NAICS11,668,11013.0,0.060655588849541454
2009,NAICS23,2274,166322.0,0.013672274263176248
2009,NAICS51,1007,19772.0,0.05093060894193809
2009,NAICS52,4465,51935.0,0.08597285067873303
2009,NAICS54,6354,160254.0,0.03964955632932719
2009,NAICS62,2793,115470.0,0.024188100805404
2009,NAICS71,11124,23075.0,0.482080173347779
2009,NAICS72,2620,132558.0,0.019764933085894477
2009,NAICSMNF,63787,28165.0,2.2647612284750576
2009,NAICSRET,15218,163121.0,0.0932927090932498
2009,NAICSTW,1161,41345.0,0.028080783649776273
2010,NAICS11,756,10618.0,0.07119984931248823
2010,NAICS23,2050,153613.0,0.013345224688014686
2010,NAICS51,1014,19430.0,0.05218733916623778
2010,NAICS52,4461,47403.0,0.09410796785013607
2010,NAICS54,6516,155515.0,0.04189949522554094
2010,NAICS62,2883,119446.0,0.024136429851146123
2010,NAICS71,11456,23670.0,0.4839881706801859
2010,NAICS72,3051,140377.0,0.021734329697884983
2010,NAICSMNF,67222,29105.0,2.3096375193265763
2010,NAICSRET,15367,166816.0,0.09211946096297717
2010,NAICSTW,1212,46579.0,0.026020309581571095
2011,NAICS11,737,11453.0,0.06434995197764778
2011,NAICS23,2212,150253.0,0.014721835836888448
2011,NAICS51,1171,20392.0,0.05742448018830914
2011,NAICS52,4692,47584.0,0.09860457296570276
2011,NAICS54,7764,161612.0,0.04804098705541668
2011,NAICS62,3118,121288.0,0.02570740716311589
2011,NAICS71,12691,24502.0,0.5179577177373276
2011,NAICS72,3487,147294.0,0.023673740953467214
2011,NAICSMNF,72307,29973.0,2.4124044973809764
2011,NAICSRET,17103,170046.0,0.10057866694894323
2011,NAICSTW,1321,48153.0,0.02743338940460615
2012,NAICS11,716,11743.0,0.06097249425189474
2012,NAICS23,2213,146254.0,0.015131210086561734
2012,NAICS51,1117,19870.0,0.056215400100654254
2012,NAICS52,4483,45928.0,0.09760930151541543
2012,NAICS54,7808,158768.0,0.0491786758036884
2012,NAICS62,3252,119291.0,0.027261067473656857
2012,NAICS71,13100,24387.0,0.5371714438020256
2012,NAICS72,3608,145967.0,0.024717915693273137
2012,NAICSMNF,75644,30489.0,2.4810259437830036
2012,NAICSRET,16604,163757.0,0.10139413887650604
2012,NAICSTW,1296,48040.0,0.02697751873438801
2013,NAICS11,828,11625.0,0.0712258064516129
2013,NAICS23,2140,154032.0,0.013893216993871403
2013,NAICS51,970,18547.0,0.052299563271688145
2013,NAICS52,4730,46191.0,0.10240090060834361
2013,NAICS54,7588,154817.0,0.04901270532305884
2013,NAICS62,3449,122830.0,0.02807945941545225
2013,NAICS71,12926,23316.0,0.5543832561331274
2013,NAICS72,3747,148738.0,0.02519194825801073
2013,NAICSMNF,80031,30730.0,2.6043280182232347
2013,NAICSRET,16625,161968.0,0.10264373209522869
2013,NAICSTW,1333,50241.0,0.026532115204713283
2014,NAICS11,804,11735.0,0.06851299531316575
2014,NAICS23,2341,162650.0,0.014392868121733784
2014,NAICS51,1085,17651.0,0.06146960512152286
2014,NAICS52,5243,48135.0,0.10892282123195181
2014,NAICS54,7963,153897.0,0.05174239913708519
2014,NAICS62,3520,129439.0,0.027194276840828497
2014,NAICS71,13668,23466.0,0.582459728969573
2014,NAICS72,4196,151388.0,0.02771685998890269
2014,NAICSMNF,85854,30577.0,2.807796709945384
2014,NAICSRET,17541,158435.0,0.11071417300470224
2014,NAICSTW,1395,56569.0,0.0246601495518747
2015,NAICS11,894,11784.0,0.07586558044806517
2015,NAICS23,2616,176132.0,0.014852496990893194
2015,NAICS51,940,19100.0,0.049214659685863874
2015,NAICS52,5726,46261.0,0.12377596679708609
2015,NAICS54,8514,152780.0,0.05572718942269931
2015,NAICS62,4065,136559.0,0.0297673533051648
2015,NAICS71,15202,23697.0,0.6415158036882306
2015,NAICS72,4562,159095.0,0.028674691222225716
2015,NAICSMNF,100274,30467.0,3.291233137493025
2015,NAICSRET,18489,155145.0,0.11917238712172484
2015,NAICSTW,1633,61139.0,0.026709628878457285
2016,NAICS11,995,11514.0,0.08641653639048115
2016,NAICS23,2703,186773.0,0.014472113206941046
2016,NAICS51,941,19380.0,0.04855521155830753
2016,NAICS52,5725,46085.0,0.12422697189975046
2016,NAICS54,8593,152299.0,0.05642190690680832
2016,NAICS62,4253,141741.0,0.030005432443682492
2016,NAICS71,16144,23879.0,0.6760752125298379
2016,NAICS72,4921,163000.0,0.030190184049079756
2016,NAICSMNF,114443,30231.0,3.7856174125897257
2016,NAICSRET,17878,155734.0,0.1147983099387417
2016,NAICSTW,1615,59328.0,0.027221548004314994
2017,NAICS11,1071,10932.0,0.09796926454445665
2017,NAICS23,2962,202729.0,0.01461063784658337
2017,NAICS51,909,21253.0,0.04277043240954218
2017,NAICS52,6623,47200.0,0.1403177966101695
2017,NAICS54,9408,151271.0,0.06219301782892954
2017,NAICS62,4832,144252.0,0.03349693591769958
2017,NAICS71,17430,23888.0,0.729655056932351
2017,NAICS72,5174,169208.0,0.030577750460971113
2017,NAICSMNF,138273,30818.0,4.486760983840613
2017,NAICSRET,19189,156822.0,0.12236165844078
2017,NAICSTW,1858,63122.0,0.029435062260384653
2018,NAICS11,1234,11136.0,0.1108117816091954
2018,NAICS23,3070,213878.0,0.014353977501192269
2018,NAICS51,870,21443.0,0.04057268106141865
2018,NAICS52,6887,51242.0,0.13440146754615354
2018,NAICS54,9613,160501.0,0.05989370782736556
2018,NAICS62,5284,154687.0,0.03415930233309845
2018,NAICS71,18663,27106.0,0.6885191470523131
2018,NAICS72,5281,177153.0,0.029810389888966036
2018,NAICSMNF,143076,30590.0,4.6772147760706115
2018,NAICSRET,19557,164243.0,0.11907356782328622
2018,NAICSTW,1851,74523.0,0.02483796948593052
2019,NAICS11,1189,11142.0,0.10671333692335308
2019,NAICS23,3260,213390.0,0.015277191995876096
2019,NAICS51,893,19495.0,0.045806617081302896
2019,NAICS52,6755,49304.0,0.137007139380172
2019,NAICS54,10021,152601.0,0.06566798382710468
2019,NAICS62,5573,158880.0,0.035076787512588116
2019,NAICS71,19480,25070.0,0.7770243318707619
2019,NAICS72,5310,183337.0,0.028963057102494312
2019,NAICSMNF,154694,30317.0,5.10254972457697
2019,NAICSRET,20452,167659.0,0.12198569715911463
2019,NAICSTW,1909,70763.0,0.026977375181945366
2020,NAICS11,1443,13088.0,0.1102536674816626
2020,NAICS23,3865,224090.0,0.01724753447275648
2020,NAICS51,1232,22005.0,0.05598727561917746
2020,NAICS52,7350,56174.0,0.13084345070673264
2020,NAICS54,11886,169029.0,0.07031929432227606
2020,NAICS62,6569,182636.0,0.03596771720799842
2020,NAICS71,24889,23964.0,1.0385995660156901
2020,NAICS72,4904,218424.0,0.022451745229461965
2020,NAICSMNF,249203,33534.0,7.431353253414445
2020,NAICSRET,25329,229263.0,0.11048010363643501
2020,NAICSTW,2045,89291.0,0.022902644163465522
2021,NAICS11,1588,12208.0,0.1300786369593709
2021,NAICS23,3866,269067.0,0.014368168523081612
2021,NAICS51,1185,24198.0,0.04897098933796182
2021,NAICS52,7998,66066.0,0.12106075742439379
2021,NAICS54,11794,198609.0,0.05938300882638752
2021,NAICS62,6756,206010.0,0.0327945245376438
2021,NAICS71,23998,28463.0,0.8431296771246882
2021,NAICS72,5656,301604.0,0.018753066935451784
2021,NAICSMNF,249756,38096.0,6.555963880722386
2021,NAICSRET,26286,283141.0,0.0928371376805196
2021,NAICSTW,2291,121259.0,0.01889344296093486
2022,NAICS11,1363,10369.0,0.13144951297135693
2022,NAICS23,3756,268984.0,0.013963655830830087
2022,NAICS51,933,21521.0,0.04335300404256308
2022,NAICS52,6946,62101.0,0.11185005072382087
2022,NAICS54,10293,184925.0,0.05566040286602677
2022,NAICS62,5943,208411.0,0.02851576932119706
2022,NAICS71,20261,25992.0,0.7795090797168359
2022,NAICS72,5019,273976.0,0.018319122842876748
2022,NAICSMNF,186562,35742.0,5.21968552403335
2022,NAICSRET,22279,253232.0,0.08797861249763063
2022,NAICSTW,2100,106879.0,0.019648387428774595
2023,NAICS11,1395,10553.0,0.13218989860703118
2023,NAICS23,4200,292390.0,0.014364376346660282
2023,NAICS51,791,21011.0,0.0376469468373709
2023,NAICS52,6507,66225.0,0.0982559456398641
2023,NAICS54,10653,190303.0,0.05597914904126577
2023,NAICS62,5766,229496.0,0.02512462090842542
2023,NAICS71,20024,26108.0,0.7669679791634748
2023,NAICS72,4948,302010.0,0.016383563458163636
2023,NAICSMNF,196922,37877.0,5.198986192148269
2023,NAICSRET,22979,290624.0,0.0790677989429641
2023,NAICSTW,2094,96707.0,0.0216530344235681
2024,NAICS11,1581,11605.0,0.13623438173201208
2024,NAICS23,5164,273335.0,0.01889256772824556
2024,NAICS51,860,20406.0,0.04214446731353524
2024,NAICS52,7440,64148.0,0.11598179210575545
2024,NAICS54,11770,180747.0,0.06511864650588944
2024,NAICS62,6243,233204.0,0.026770552820706336
2024,NAICS71,20233,23305.0,0.868182793391976
2024,NAICS72,5018,279607.0,0.01794661793159685
2024,NAICSMNF,218824,37773.0,5.793132660895348
2024,NAICSRET,23256,241105.0,0.09645590095601501
2024,NAICSTW,2193,84265.0,0.026025040052216224
