t1,t2,n_t1,n_t2,overlap,examples
wireless,social media,1000,1000,4,"INTERNATIONAL BUSINESS MACHINES CORPORATION; International Data Group, Inc.; MOTOROLA TRADEMARK HOLDINGS, LLC; Motorola, Inc."
wireless,artificial intelligence,1000,1000,4,"HUGHES AIRCRAFT COMPANY; INTERNATIONAL BUSINESS MACHINES CORPORATION; Lifecom, Inc.; Westinghouse Electric Corporation"
social media,mobile app,1000,1000,4,Appetizer Mobile LLC; Avaya Inc.; Blue Cross and Blue Shield Association; Nortap Technology Inc.
blockchain,mobile app,1000,1000,4,"0934781 B.C. Ltd; Crawford, Jesse L; Paul Farkas; SAP SE"
website,social media,1000,1000,3,"Hampton Roads Educational Telecommunications Association, Inc.; INTERNATIONAL BUSINESS MACHINES CORPORATION; International Data Group, Inc."
online retail,saas,1000,1000,3,"CREXENDO, INC.; Furniture.com, Inc.; Jostens, Inc."
blockchain,artificial intelligence,1000,1000,3,"360 Holdings Corp.; Daplie, Inc.; Paul Farkas"
mobile app,streaming,1000,1000,3,"Firstrade Securities Inc.; RELX INC.; SIEMENS INDUSTRY, INC."
website,cloud computing,1000,1000,2,"INTERNATIONAL BUSINESS MACHINES CORPORATION; JOHN WILEY & SONS, INC."
wireless,mobile app,1000,1000,2,"AT&T INTELLECTUAL PROPERTY II, L.P.; IVANTI, INC."
wireless,saas,1000,1000,2,"AT&T INTELLECTUAL PROPERTY II, L.P.; INTERNATIONAL BUSINESS MACHINES CORPORATION"
online retail,social media,1000,1000,2,"International Data Group, Inc.; XO GROUP INC."
online retail,artificial intelligence,1000,1000,2,"BLOCKBUSTER INC.; Schechter, Paul L."
artificial intelligence,mobile app,1000,1000,2,Paul Farkas; Tencent Holdings Limited
mobile app,saas,1000,1000,2,"AT&T INTELLECTUAL PROPERTY II, L.P.; SITE ORGANIC, L.L.C."
streaming,saas,1000,1000,2,"British Telecommunications plc; CITRIX SYSTEMS, INC."
website,saas,1000,1000,1,INTERNATIONAL BUSINESS MACHINES CORPORATION
social media,blockchain,1000,1000,1,"Souza, John"
social media,streaming,1000,1000,1,"creativdesign group, Inc."
blockchain,saas,1000,1000,1,"CLOUD SOFTWARE GROUP, INC."
website,blockchain,1000,1000,0,""
website,mobile app,1000,1000,0,""
wireless,blockchain,1000,1000,0,""
online retail,blockchain,1000,1000,0,""
online retail,cloud computing,1000,1000,0,""
online retail,mobile app,1000,1000,0,""
blockchain,cloud computing,1000,1000,0,""
blockchain,streaming,1000,1000,0,""
