cls,label,skipped,n_clean,n_registered,p_registered,p_renewed_given_reg,p_sec_given_reg,renew_q1,renew_q1_n,renew_q2,renew_q2_n,renew_q3,renew_q3_n,renew_q4,renew_q4_n,renew_q5,renew_q5_n,renew_lift_q5_q1,renew_lift_se,sec_q1,sec_q1_n,sec_q2,sec_q2_n,sec_q3,sec_q3_n,sec_q4,sec_q4_n,sec_q5,sec_q5_n,sec_lift_q5_q1,sec_lift_se,reg_q1,reg_q1_n,reg_q2,reg_q2_n,reg_q3,reg_q3_n,reg_q4,reg_q4_n,reg_q5,reg_q5_n,reg_lift_q5_q1,reg_lift_se
011,Lighting & Heating,false,171839,69618,0.40513503919366384,0.7559395558619897,0.020239018644603406,0.6858661304222925,13924,0.712849242261007,13923,0.7398735995403619,13924,0.8044211584009187,13933,0.8367112261032054,13914,0.15084509568091287,0.005029198889578803,0.02197644355070382,13924,0.024204553616318323,13923,0.021545532892846882,13924,0.018804277614296993,13933,0.014661492022423459,13914,-0.007314951528280362,0.0016068296067206316,0.4985742551210428,34368,0.42810172253258844,34368,0.40448686239706694,34367,0.36016061452513964,34368,0.33435172253258844,34368,-0.16422253258845437,0.0037080938112742687
012,Vehicles,false,116643,52622,0.45113723069536965,0.7559005739044506,0.039888259663258714,0.7112589073634205,10525,0.7171227670087419,10524,0.7306413301662708,10525,0.7781051031074788,10523,0.842375296912114,10525,0.13111638954869353,0.005668170329227582,0.041900237529691214,10525,0.05330672748004561,10524,0.0431353919239905,10525,0.03516107573885774,10523,0.025938242280285035,10525,-0.01596199524940618,0.002492936482004767,0.5434009173132153,23329,0.4759087791495199,23328,0.43169445754211494,23329,0.4185099451303155,23328,0.38617171760469804,23329,-0.15722919970851723,0.004560308261602266
013,Firearms,false,12432,5813,0.46758365508365507,0.7108205745742302,0.03165319112334423,0.6672398968185727,1163,0.7435456110154905,1162,0.7523645743766122,1163,0.7366609294320138,1162,0.6543422184006878,1163,-0.012897678417884806,0.01963136838593895,0.05417024935511608,1163,0.035283993115318414,1162,0.037833190025795355,1163,0.013769363166953529,1162,0.017196904557179708,1163,-0.036973344797936375,0.0076542326940577205,0.5285369774919614,2488,0.43501006036217305,2485,0.42075623491552694,2486,0.4565567176186645,2486,0.4969843184559711,2487,-0.031552659035990305,0.014165947259295741
014,Jewelry,false,98618,43937,0.4455271857064633,0.8483510480915857,0.014224912943532786,0.8131543013199818,8788,0.8177990212814384,8787,0.8476157960623648,8787,0.8709457152611813,8787,0.8922394173873464,8788,0.07908511606736457,0.0053131631076948965,0.017865270823850705,8788,0.014908387390463185,8787,0.019005348810743145,8787,0.012290884260839878,8787,0.007055075102412381,8788,-0.010810195721438324,0.0016714490461776687,0.5469478807544109,19724,0.46816061650780777,19724,0.4317294529229833,19723,0.3998377528773513,19723,0.38095720949097545,19724,-0.16599067126343547,0.004951727586415436
015,Musical Instruments,false,11068,4935,0.4458800144560896,0.6924012158054711,0.006281661600810537,0.6058763931104356,987,0.6524822695035462,987,0.7426545086119554,987,0.75177304964539,987,0.7092198581560284,987,0.10334346504559278,0.021233903620236465,0.005065856129685917,987,0.0121580547112462,987,0.008105369807497468,987,0.004052684903748734,987,0.002026342451874367,987,-0.00303951367781155,0.002674967378433847,0.5650406504065041,2214,0.46543154089471306,2213,0.4349593495934959,2214,0.3840939900587438,2213,0.37985546522131886,2214,-0.18518518518518523,0.014744665174563576
016,Paper & Printed Goods,false,419972,214282,0.5102292533787967,0.8028532494563239,0.025830447727760615,0.797582658608862,42857,0.7837175658017547,42856,0.7881743513160351,42856,0.7951422105042115,42859,0.849652307835908,42854,0.05206964922704593,0.0025976810948606707,0.029190097300324333,42857,0.029214112376330037,42856,0.025877356729512788,42856,0.02547889591451037,42859,0.019391422037616093,42854,-0.00979867526270824,0.001051165123941335,0.5463182332281683,83995,0.5272281353430007,83994,0.49739267090506467,83994,0.4887134795342524,83994,0.49149354128221917,83995,-0.05482469194594913,0.0024344058947938863
017,Rubber & Plastics,false,48186,20995,0.43570746689909934,0.6318170993093594,0.02962610145272684,0.5887115979995237,4199,0.5894260538223387,4199,0.617289830912122,4199,0.6725410812098118,4199,0.6911169326030007,4199,0.102405334603477,0.010416482743887264,0.030245296499166466,4199,0.03596094308168612,4199,0.030721600381043105,4199,0.025244105739461776,4199,0.025958561562276734,4199,-0.004286734936889733,0.0036064835764589263,0.5400498028636647,9638,0.46430794770699313,9638,0.39227895392278955,9636,0.38476704368579434,9637,0.3971152848396804,9637,-0.14293451802398427,0.007114481926154724
018,Leather Goods,false,133408,59504,0.44603022307507795,0.8470018822264049,0.017847539661199247,0.8332072935047475,11901,0.8448029577346442,11901,0.8465546218487395,11900,0.8452230904965969,11901,0.8652214099655491,11901,0.032014116460801545,0.004634223668624648,0.02747668263171162,11901,0.019158053945046636,11901,0.018319327731092436,11900,0.01209982354423998,11901,0.012183850096630535,11901,-0.015292832535081085,0.0018046127126976896,0.5315193763585938,26682,0.4409879689666804,26681,0.417247582639982,26682,0.4241969941156628,26681,0.4161981860430253,26682,-0.11532119031556853,0.004294041176956018
019,Building Materials,false,66282,30647,0.4623728915844422,0.6964466342545763,0.020850327927692758,0.626242868785656,6135,0.6616590463749183,6124,0.7071300375265133,6129,0.742372328275412,6129,0.7448613376835237,6130,0.11861846889786765,0.008315897070074662,0.022493887530562348,6135,0.019105160026126715,6124,0.02186327296459455,6129,0.02137379670419318,6129,0.019412724306688417,6130,-0.003081163223873931,0.0025863824256463636,0.5558572829448594,13257,0.488910681955341,13256,0.4189046469523235,13256,0.40760295670538543,13258,0.44058845718596756,13255,-0.1152688257588918,0.006100583960144321
020,Furniture,false,144864,64313,0.44395432957808706,0.8025127112714381,0.022483790213487165,0.7921169245121666,12863,0.7775013604913317,12863,0.7726319061310125,12869,0.7860754570206145,12855,0.8842416232605147,12863,0.09212469874834806,0.00455623067021538,0.02744305371997201,12863,0.025110782865583457,12863,0.024088895796099154,12869,0.023881758070789575,12855,0.011894581357381638,12863,-0.015548472362590373,0.0017287718664501161,0.5261105166879508,28973,0.48842025333931594,28973,0.46284471749559936,28973,0.4269984812922822,28972,0.31539709384599457,28973,-0.21071342284195627,0.004007207154122807
021,Household Utensils,false,183800,79575,0.43294341675734493,0.8276720075400565,0.01913917687715991,0.7993716619541313,15915,0.808985234055922,15915,0.8025133521834747,15915,0.82930200414651,15917,0.8981964431596807,15913,0.09882478120554938,0.003977850180515254,0.023499842915488532,15915,0.023688344329249135,15915,0.018912975180647187,15915,0.01803103599924609,15917,0.01156287312260416,15913,-0.011936969792884371,0.0014697325332715492,0.5308215451577802,36760,0.49311751904243745,36760,0.45788900979325353,36760,0.369613710554951,36760,0.3132752992383025,36760,-0.21754624591947774,0.0035535079699167325
022,Cordage & Fibers,false,21551,8961,0.4158043710268665,0.7521481977457873,0.019305881040062492,0.6988287785833798,1793,0.7109375,1792,0.73828125,1792,0.7561383928571429,1792,0.8565848214285714,1792,0.15775604284519162,0.013635828742151955,0.029559397657557166,1793,0.018415178571428572,1792,0.017299107142857144,1792,0.016183035714285716,1792,0.015066964285714286,1792,-0.01449243337184288,0.004927464476808855,0.5005799118533982,4311,0.45568445475638053,4310,0.43874709976798143,4310,0.3730858468677494,4310,0.3109048723897912,4310,-0.18967503946360703,0.010377835399980717
023,Yarns & Threads,true,2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024,Textiles,false,84770,37967,0.44788250560339743,0.8397028998867437,0.019095530328969896,0.806872037914692,7596,0.8052957449611382,7591,0.8352429869616752,7593,0.8582905307520085,7593,0.8928101132473005,7594,0.08593807533260855,0.005754717041316963,0.02224855186940495,7596,0.02384402582005006,7591,0.021203740287106546,7593,0.015672329777426577,7593,0.012509876218066896,7594,-0.009738675651338053,0.002119090813777949,0.5732570484841335,16954,0.480035387791212,16955,0.4400990975048664,16953,0.3818567889583579,16954,0.36416184971098264,16954,-0.20909519877315086,0.005299685831918471
025,Clothing & Footwear,false,604850,317986,0.5257270397619245,0.8857276735453762,0.00975200166045046,0.8624013333752634,63598,0.8840825825117536,63597,0.8975266128905451,63597,0.8919445885812224,63597,0.8926836171517525,63597,0.030282283776489116,0.0018363601422383277,0.013632504166797697,63598,0.011211220655062346,63597,0.008443794518609368,63597,0.006808497256159882,63597,0.008663930688554491,63597,-0.004968573478243206,0.0005886285361769332,0.5855253368603786,120970,0.5097544845829545,120970,0.4977763081755807,120970,0.5024799537075308,120970,0.5330991154831777,120970,-0.05242622137720088,0.002015870456368654
026,Lace & Embroidery,false,35638,15221,0.42710028621134744,0.8440312725839301,0.015570593259312792,0.813136288998358,3045,0.8249589490968802,3045,0.8333881038448899,3043,0.8741787122207622,3044,0.8745072273324573,3044,0.061370938334099345,0.00927106935838496,0.013793103448275862,3045,0.028243021346469624,3045,0.015445284258954979,3043,0.016097240473061762,3044,0.0042706964520367935,3044,-0.009522406996239068,0.0024216259072787523,0.510662177328844,7128,0.4809877929002385,7127,0.4590347923681257,7128,0.36060053318366775,7127,0.32421436588103253,7128,-0.18644781144781147,0.00811140279685162
027,Carpets,false,22964,9801,0.42679846716599895,0.8113457810427508,0.019385776961534536,0.7338092809790923,1961,0.7857142857142857,1960,0.8062054933875891,1966,0.8526100307062436,1954,0.8785714285714286,1960,0.1447621475923363,0.012411262261533542,0.018357980622131564,1961,0.025,1960,0.024923702950152594,1966,0.01791197543500512,1954,0.010714285714285714,1960,-0.00764369490784585,0.00382067851678873,0.4990202482037884,4593,0.47714410100130605,4594,0.45153561315617513,4591,0.3807968647942521,4593,0.3254953189636403,4593,-0.17352492924014806,0.01011093654165435
028,Games & Sporting Goods,false,292436,143485,0.4906543653996088,0.8626964491061784,0.03267937415060808,0.8416724738675958,28700,0.8496549801352199,28694,0.8566052200578458,28697,0.8727088995748833,28698,0.8928422079732367,28696,0.05116973410564085,0.002824409880021113,0.05372822299651568,28700,0.03837039102251342,28694,0.029828901975816287,28697,0.02278904453272005,28698,0.018678561471982158,28696,-0.035049661524533524,0.001552492980877076,0.5611920393926959,58488,0.5280489681467676,58487,0.506659599569135,58487,0.4495699899122882,58487,0.40780002393694326,58487,-0.15339201545575265,0.0028878137753315003
029,Meats & Processed Foods,false,127008,66370,0.5225655076845553,0.8207473255989152,0.021786951936115715,0.7466485916553698,13278,0.8124858799608404,13279,0.8409347908028647,13265,0.8454120837727889,13274,0.8582944101250565,13274,0.11164581846968669,0.004838296778883842,0.028468142792589246,13278,0.02552903080051209,13279,0.01997738409347908,13265,0.0134850082868766,13274,0.021470543920445985,13274,-0.006997598872143261,0.0019146103171005704,0.5703487914337454,25402,0.5274201803078619,25401,0.49708684355562555,25402,0.5037596945002165,25401,0.51421147941107,25402,-0.056137312022675356,0.004413696113762852
030,Staple Foods,false,192476,99551,0.5172125355888526,0.8248535926309128,0.018402627798816688,0.7737431570488674,19911,0.8058262179809141,19910,0.8365143144148669,19910,0.8516044794857631,19913,0.8565831114683278,19907,0.08283995441946035,0.0038682657793686075,0.025513535231781428,19911,0.023556002009040684,19910,0.017378201908588648,19910,0.012203083412845879,19913,0.013362133922740745,19907,-0.012151401309040683,0.0013823694371479023,0.5654353699085619,38496,0.5228199599968829,38497,0.49579155193017094,38494,0.48707624366800883,38495,0.5149373928404427,38494,-0.050497977068119204,0.0035877118954070353
031,Agricultural Products,false,59590,30020,0.5037758013089445,0.7845769487008661,0.01508994003997335,0.7256828780812792,6004,0.7559960026648901,6004,0.7748167888074617,6004,0.7918054630246503,6004,0.8745836109260493,6004,0.14890073284477012,0.007171107049139528,0.015489673550966023,6004,0.01798800799467022,6004,0.014990006662225183,6004,0.015989340439706862,6004,0.010992671552298468,6004,-0.004497001998667555,0.0020858321083904265,0.5235825388861014,11958,0.5134702811921199,11878,0.49421043799295183,11918,0.488504782681658,11918,0.4990770263467025,11918,-0.02450551253939892,0.006468121915236554
032,Beer & Soft Drinks,false,94920,53943,0.568299620733249,0.8894573902081827,0.018649315017703873,0.8669941607192511,10789,0.8745618889503781,10842,0.8953889147647881,10735,0.9172228401928069,10788,0.893224580591343,10789,0.02623041987209196,0.004419071938154101,0.0247474279358606,10789,0.02222837114923446,10842,0.01592920353982301,10735,0.016314423433444566,10788,0.013995736398183335,10789,-0.010751691537677265,0.0018751179036004622,0.5890750105351875,18984,0.5627897176569743,18984,0.5445111672987779,18984,0.5501185146168027,18985,0.5950060580519412,18983,0.0059310475167536625,0.005044326199084042
033,Alcoholic Beverages,false,61865,32903,0.5318516123817991,0.8616539525271252,0.006412789107376227,0.8445524996201185,6581,0.8933130699088145,6580,0.8640024312414527,6581,0.8506502786908675,6997,0.8560999351070734,6164,0.011547435486954916,0.006319393844981811,0.006685913994833612,6581,0.00364741641337386,6580,0.008357392493542014,6581,0.007717593254251822,6997,0.0055158987670343934,6164,-0.0011700152277992187,0.0013780676861159889,0.5591206659662168,12373,0.5280853471268083,12373,0.5082841671381233,12373,0.5236456150853038,13364,0.5415568441398699,11382,-0.01756382182634686,0.006460307456112141
034,Tobacco,false,32818,18242,0.5558534950332135,0.9069181010854073,0.007400504330665497,0.8287201973143327,3649,0.9010416666666666,3648,0.9235197368421053,3648,0.9432565789473685,3648,0.9380652233488627,3649,0.10934502603453,0.007404121639787226,0.007399287476020828,3649,0.008771929824561403,3648,0.006304824561403508,3648,0.004934210526315789,3648,0.00959166895039737,3649,0.0021923814743765417,0.002148514808712941,0.5816575258988421,6564,0.5604562737642586,6575,0.5247252747252747,6552,0.5563004723449642,6563,0.5560633759902498,6564,-0.025594149908592323,0.008641665877786834
035,Advertising & Retail,false,924501,437785,0.47353653484420244,0.8041116072958188,0.026965291181744462,0.7999588839270418,87557,0.7852509193905753,87558,0.7880099593403079,87556,0.803703957434176,87582,0.843645752410547,87532,0.043686868483505115,0.0018260961175439613,0.026485603663898946,87557,0.027798716279494734,87558,0.02898716250171319,87556,0.02865885684273024,87582,0.022894484302883517,87532,-0.0035911193610154296,0.0007416543640194501,0.50785555513491,184901,0.4642888047593294,184900,0.44423472147106546,184900,0.45619794483504594,184900,0.49510546241211467,184900,-0.012750092722795314,0.001644291273258836
036,Insurance & Finance,false,374634,178678,0.47694016026308345,0.7647611905214968,0.04250663204199734,0.746670024625028,35736,0.7754862179935638,35735,0.7732538616521155,35736,0.7598992584301105,35735,0.7684967539735841,35736,0.021826729348556118,0.0032049227584184103,0.04978173270651444,35736,0.04452217713726039,35735,0.04695545108573987,35736,0.038981390793339864,35735,0.032292366241325275,35736,-0.017489366465189164,0.0014826158626761814,0.4925060392114992,74927,0.45370827605536057,74927,0.45419480554146757,74926,0.47522955370489,74928,0.5090622747777808,74926,0.016556235566281552,0.0025828977540633797
037,Construction & Repair,false,166789,71871,0.43090971227119296,0.7024947475337758,0.039779605125850485,0.6924521739130435,14375,0.6831779602059274,14374,0.6928481981355225,14374,0.7131626547933769,14374,0.7308334492834284,14374,0.03838127537038494,0.005338566913944271,0.04542608695652174,14375,0.04341171559760679,14374,0.037428690691526365,14374,0.03596771949352998,14374,0.03666342006400445,14374,-0.008762666892517292,0.00233959087368438,0.4924156124467894,33358,0.43887523232807724,33358,0.39191174266270945,33357,0.3929074612548338,33359,0.438438708516953,33357,-0.053976903929836395,0.003856655981170367
038,Telecommunications,false,162634,84475,0.5194178339092687,0.8867002071618822,0.04516129032258064,0.8901450133175496,16895,0.8767755681818182,16896,0.8850479460163372,16894,0.8852323172536253,16895,0.8963006806747559,16895,0.006155667357206296,0.0033599546132746664,0.05338857650192365,16895,0.04598721590909091,16896,0.04510477092458861,16894,0.04527966854098846,16895,0.03604616750517905,16895,-0.0173424089967446,0.0022467638456902077,0.5797030159559751,32527,0.5253789159774956,32527,0.46528930701592575,32526,0.46967134995542165,32527,0.5570449165308821,32527,-0.022658099425093003,0.0038828468590525896
039,Transport & Storage,false,112578,51459,0.4570964131535469,0.745564429934511,0.056472142871023534,0.7102603964244073,10292,0.7239603575592694,10292,0.7308327664949956,10291,0.7609794014768753,10292,0.8017877963466771,10292,0.09152739992226977,0.00595287468622462,0.06539059463661095,10292,0.06305868635833657,10292,0.05305606840928967,10291,0.05120481927710843,10292,0.04965021375825884,10292,-0.01574038087835211,0.00324387273768436,0.5094817249189502,22517,0.462112463356134,22514,0.4239207674542548,22516,0.42001243560135015,22516,0.46995336442371755,22515,-0.03952836049523262,0.0047076895206523235
040,Material Treatment,false,87017,39009,0.44829171311352956,0.7366761516573098,0.044707631572201284,0.7571135606254806,7802,0.7159149154279857,7804,0.697909988460059,7799,0.7077672391694437,7802,0.8046654703922071,7802,0.04755190976672652,0.006611801184666734,0.042040502435273006,7802,0.053690415171706814,7804,0.04551865623797923,7799,0.04216867469879518,7802,0.0401179184824404,7802,-0.001922583952832603,0.0031776740095410226,0.46443346357159276,17404,0.4267080388438775,17403,0.4119404700339022,17403,0.44205022122622534,17403,0.49632268444035854,17404,0.03188922086876578,0.005353089539579186
041,Education & Entertainment,false,850779,404803,0.4758027642901388,0.794865650699229,0.019930682331899714,0.7946418646014748,80961,0.7835597826086956,80960,0.7785476958041526,80961,0.787981719367589,80960,0.8295969664406319,80961,0.034955101839157066,0.0019395134878302384,0.018700361902644482,80961,0.019985177865612647,80960,0.020849544842578525,80961,0.021109189723320158,80960,0.019009152554933857,80961,0.00030879065228937505,0.0006760112287904097,0.5153682503114789,170156,0.4785843578833541,170156,0.4552437483470953,170155,0.4527786266719951,170156,0.477038717412257,170156,-0.03832953289922192,0.0017128903907100454
042,Scientific & Tech Services,false,692938,323036,0.4661831217222897,0.8271709654651493,0.04065800715709704,0.814279965329371,64608,0.8111040599315864,64607,0.8236259228876128,64607,0.8284086863652546,64607,0.8584363923413871,64607,0.044156427012016164,0.0020546690907405126,0.02671495789995047,64608,0.04310678409460275,64607,0.04533564474437755,64607,0.050644666986549444,64607,0.037488197873295465,64607,0.010773239973344995,0.0009802774356481437,0.5241867982797933,138588,0.4298888063093941,138587,0.41609663174300804,138588,0.45432832805385787,138587,0.5064146967991456,138588,-0.017772101480647673,0.0018982354721835755
043,Hotels & Restaurants,false,122371,59824,0.4888739979243448,0.7926250334313988,0.02141281091200856,0.7084238676249374,11966,0.781427616181879,11964,0.8321631561350719,11964,0.8407856247388216,11965,0.8003343083994985,11965,0.09191044077456112,0.005533331983695128,0.0333444760153769,11966,0.02340354396522902,11964,0.017385489802741558,11964,0.015879648976180525,11965,0.017049728374425407,11965,-0.01629474764095149,0.002023451379645903,0.5649207386827914,24476,0.47807788174723165,24473,0.4460243523739479,24474,0.4467598267549236,24474,0.5085805344447168,24474,-0.05634020423807451,0.004500422597981053
044,Medical & Beauty Services,false,167607,77355,0.4615260699135478,0.7959795746881262,0.04806411996638873,0.7779716889664534,15471,0.786115958890828,15471,0.7952297847585805,15471,0.8179173938336242,15471,0.8026630469911448,15471,0.024691358024691357,0.004626344679898521,0.04246655031995346,15471,0.0453105810871954,15471,0.05048154611854437,15471,0.054682955206515414,15471,0.047378967099734985,15471,0.004912416779781527,0.002354928503257984,0.4841298251894278,33522,0.4429163807762298,33521,0.4452731123773157,33521,0.4486143014826527,33521,0.4866953045760993,33522,0.0025654793866714543,0.003860412403090713
045,Legal & Personal Services,false,114693,52331,0.45627021701411596,0.7947488104565171,0.026275056849668455,0.7607719499379001,10467,0.7658131091152303,10466,0.8025988916491497,10466,0.8296388304987579,10466,0.8149245174851901,10466,0.05415256754729003,0.005639016291992588,0.02120951562052164,10467,0.02532008408178865,10466,0.02627555895279954,10466,0.033823810433785594,10466,0.024746799159182112,10466,0.0035372835386604726,0.0020710687576913638,0.5239112428615023,22939,0.4488185543639376,22938,0.40917215222982695,22939,0.40814369169064435,22938,0.4913030210558438,22939,-0.03260822180565848,0.004665695841672354
