brand,founded,primary_buzz,n_filings,earliest_filing,earliest_owner,earliest_class,first_gs,used_primary_buzz,rank_in_primary_ladder,n_buzzwords_ever_used,buzzwords_used
Salesforce,1999,saas,952,19950818,"SILENT SALESFORCE, INC.",009,vending machines,20090430,247,12,"website, wireless, online retail, social media, cloud computing, saas, artificial intelligence, machine learning, streaming, online, internet, platform"
Workday,2005,saas,77,20050707,"WORKDAY, INC.",042,Providing on-line non-downloadable software for enterprise resource planning for commercial use,20151023,10477,10,"website, social media, blockchain, cloud computing, saas, artificial intelligence, machine learning, online, internet, platform"
ServiceNow,2004,saas,152,20010524,"SERVICENOW, INC.",042,"Computer services, namely, creating, designing, implementing, and maintaining web sites for others",20110719,1709,9,"website, wireless, online retail, cloud computing, saas, artificial intelligence, streaming, online, platform"
Snowflake,2012,saas,128,20140612,"Snowflake Computing, Inc.",042,"Software as a service (SAAS) and platform as a service (PAAS) services, namely, providing cloud computing software for use in connection with data warehousing, data management, dat",20140612,6494,9,"website, wireless, cloud computing, saas, artificial intelligence, machine learning, online, internet, platform"
Tesla,2003,electric vehicle,243,20050210,"TESLA, INC.",012,"Fully battery electric, high performance sports automobile",,,4,"wireless, saas, online, ride-sharing"
Uber,2009,mobile app,354,20090128,"UBER TECHNOLOGIES, INC.",009,Providing a website featuring information regarding transportation services and bookings for transportation services Providing temporary use of online non-downloadable software for,,,12,"website, wireless, online retail, social media, cloud computing, saas, artificial intelligence, machine learning, streaming, online, internet, platform"
Airbnb,2008,mobile app,180,20100426,"AIRBNB, INC.",035,"Preparation of custom or non-custom advertising for businesses for dissemination via the web; customer loyalty services and customer club services for commercial, promotional and a",,,6,"website, social media, saas, online, internet, platform"
Lyft,2012,mobile app,221,20121001,"LYFT, INC.",009,"Telecommunications services, namely, routing calls, messages, and push-notifications to transportation providers and riders Computer software for coordinating transportation servic",,,10,"website, wireless, online retail, cloud computing, saas, smartphones, online, internet, platform, electric vehicle"
Spotify,2006,website,272,20000215,SPOTIFY AB,041,Entertainment services --namely television program series featuring country music and commentary,20160104,81052,9,"website, wireless, social media, saas, artificial intelligence, streaming, online, internet, platform"
Palantir,2003,saas,99,19831114,"Palantir, Inc.",009,Computer Programs on Tape or Disk Dealing with Word Processing,20121002,3281,8,"website, cloud computing, saas, artificial intelligence, machine learning, online, internet, platform"
