stratum,token,lift,survival,n_token,p_stratum,p_pop
positive,home-health,3.643157010108928,0.36011209715086406,2141,0.0008413567848952726,0.00023094167573911852
positive,party-themed,3.6398280971423613,0.3058599333015722,2099,0.0008240981841794722,0.00022641129256254544
positive,toupees,3.6323983620808327,0.24236760124610593,6420,0.002515441054327918,0.000692501428419029
positive,hairpieces,3.614397210528402,0.39126812197967004,6001,0.0023396190595357004,0.000647305462919407
positive,bio-polymer,3.6075363755744037,0.36902573529411764,2176,0.0008467500976189603,0.00023471699505292942
positive,workbook,3.5619043776954364,0.2723809523809524,2100,0.0008068395834636718,0.00022651915882865433
positive,wig,3.5057347626211186,0.2905109489051095,4795,0.0018132317377037863,0.000517218745992094
positive,enlargers,3.450478861036566,0.26814240073026013,4382,0.001630937767643144,0.00047266997808912537
positive,agave,3.436515893743984,0.4902063658621896,5718,0.0021195719004092448,0.000616779309610593
positive,equivalent,3.4363114164101614,0.6330798479087453,2104,0.0007798730198452335,0.00022695062389308987
